id_program,id_site,id_organization,program_name,agency_name,site_name,site_address,site_city,site_county,site_province,site_country,site_postalcode,site_latitude,site_longitude,id_cioc,pubcode_cioc,heading_cioc,category,tax_code,tax_name,physical_access,desc_program,desc_agency,email,how_to_apply,eligibilty,fees,funding_source,hours,languages_of_service,website,coverage_cioc,phone_office,phone_tollfree,phone_tty,fax,last_verified_date,record_owner,record_language
47157674,47157673,47157672,Community Farmers Market,Market Square (The),Windsor - Ottawa St,2109 Ottawa St,Windsor,Essex,ON,Canada,N8Y 1R8,42.313077,-83.003309,WIN0201,,,Free / Low-cost meals,BD-2400.2250,Farmers Markets,,"Community farmers' market which includes:
<br>* over 30 meat, poultry, pasta, produce and pastry vendors 
<br>* free parking
<br>* food court","Community farmers' market which includes:
<br>* over 30 meat, poultry, pasta, produce and pastry vendors 
<br>* free parking
<br>* food court",,Contact agency for details,No restrictions,None,,Mon (closed) * Tue-Fri 8 am-6 pm * Sat 7 am-4 pm * Sun 10 am-3 pm,English,,Essex - NULL - NULL,519-253-7746,,,519-977-5795,Feb 7 2017,,en
47160381,47160380,47160379,Baptist Church,Campbell Baptist Church,Windsor - Wyandotte St W,1821 Wyandotte St W,Windsor,Essex,ON,Canada,N9B 1J4,42.306623,-83.057729,WIN1740,TAX,Community -- Churches/Religious,Camps;Children's Programs;Free / Low Cost Meals;Free / Low-cost meals,BD-5000.1470*YS-5000.5000; BD-5000.1470*YS-5000.5000; PV-6500.1500*YR-1500.1050; PV-6500.1500*YR-1500.1050; PV-7000; PL-6400.1500-180; PS-9800.1500,Community Meals*Hommes; Community Meals*Men; Christian Churches*Baptist Community; Christian Churches*Communauté baptiste; Religious Activities; Day Camps; Faith Based Youth Programs,,"Fellowship Evangelical Baptist Church 
<br>* Variety of discipleship activities for youth, college age and young people 
<br>* AWANA clubs
<br>* Bible study group
<br>* Mens breakfast
<br>Other programs include;
<br>* summer day camps
<br>* vacation bible school",A Baptist church.,cbc@campbellbaptist.org,Registration required for Summer Day camps * call for details,No restrictions,None,,"Office Mon-Fri 9:30 am-4:30 pm
Sunday Services Sun 11 am, 6 pm",English; Other - * Spanish services and programs available (Iglesia Bautista Hispana); Spanish - Spanish services and programs available (Iglesia Bautista Hispana),www.campbellbaptist.org,Essex - NULL - NULL,519-254-2879,,,519-254-2030,Jan 23 2017,,en
48528453,48528452,48528451,Outpost Ministry Church,Outpost Ministry Church,Outpost Ministry Church,11 Aberdeen Ave,Brantford,Brant,ON,Canada,N3S 1R6,43.127651,-80.257276,BRD0125,INFOBHN-CAT; TAX,Food -- Meals; Free / Low-Cost Meals,Free / Low Cost Meals;Free / Low-cost meals;Homeless meals,BD-5000.8300,Homeless Meals,,"Non-denominational ministry and church
<br>
<br>Participant in Brantford's monthly food calendar, providing meals to people in need",Church,,Call or drop-in * no application required,No restrictions,None,,Service Sun 10:30 am,English,,Brant - Brantford - NULL,519-758-5697,,,,Apr 3 2017,Contact Brant,en
51098864,51098863,51098862,STICH Supper Club,STICH Supper Club,Ingersoll - Thames St,Royal Canadian Legion #119; 211 Thames St N,Ingersoll,Oxford,ON,Canada,N5C 3E3,43.044564,-80.890958,OXF0043,CEP; TAX,Food -- Meals; Immediate,Free / Low Cost Meals;Free / Low-cost meals;Homeless meals,BD-5000.8300,Homeless Meals,,Weekly hot meal for anyone in the community and beyond.,"STICH (Stronger Together Ingersoll Community Harvest) is a community-based, grassroots movement, born of a group of citizens concerned with the issue of food security in the town of Ingersoll.",stichsupperclub@gmail.com,Walk-in,"Available to anyone who would like a prepared, nutritious meal and a welcoming, inclusive atmosphere.",Donation,,Thu 4:30 pm-6 pm,English,www.stichsupperclub.ca,Oxford - NULL - NULL,,,,,Jul 26 2017,Information Oxford,en
51904948,51904947,51904946,St John's United Church,St John's United Church,Flesherton,13 Spring St,Grey Highlands,Grey,ON,Canada,N0C 1E0,44.260192,-80.549676,GBA1108,CWD-211BRUCEGRECOUNY; CWD-GBCA-CHILD; CWD-GBCA-YOUTH; CWD-NEWHUB; TAX,Camps; Community -- Churches/Religious; Food Assistance - Emergency; Food Assistance - Non Emergency; Free / Low-Cost Meals; Religious Organzations; Spiritual Care / Support,Camps;Free / Low Cost Meals;Free / Low-cost meals,BD-5000.4500; PL-6400.1500-180*YQ-1980; PL-6400.1500-180*YQ-1980; PV-6500.1500*YR-1500.9100; PV-6500.1500*YR-1500.9100,Low Cost Meals; Day Camps*Faith Based Organizational Perspective; Day Camps*Points de vue organisationnels axés sur la religion; Christian Churches*Communauté de l'Église Unie; Christian Churches*United Church Community,,"Church service, Sundays at 11 am with Sunday school at the same time.  Also offers:
<br>
<br>* periodic community meals offered throughout the year by donation, call for details
<br>* annual pancake breakfast with yard and bake sale in July
<br>* Vacation Bible School, call for details","Church service, Sundays at 11 am with Sunday school at the same time.  Also offers:
<br>
<br>* periodic community meals offered throughout the year by donation, call for details
<br>* annual pancake breakfast with yard and bake sale in July
<br>* Vacation Bible School, call for details",fleshertonunited@gmail.com,"Walk in, call or visit website",No restrictions,Donation,,"Secretary Thu-Fri 9 am-12 noon
Dates: Services held at this church from Dec-Apr * for services during May-Nov, see listing for Eugenia United",English,www.stjohnsunitedchurch.com,Grey - Grey Highlands - NULL,519-924-2340,,,,Jun 8 2017,,en
52021727,52021726,52021725,Community Soup Kitchen,Community Soup Kitchen,Community Soup Kitchen,40 William St N,Kawartha Lakes,Kawartha Lakes,ON,Canada,K9V 3A8,44.356206,-78.737572,VTC0470,CKL-BLUEBOOK; TAX,Food -- Meals; Food Banks & Food Programs,Free / Low Cost Meals;Free / Low-cost meals;Homeless meals,BD-5000.8300,Homeless Meals,,Community Soup Kitchen for people in need of a hot meal. No need to book appointment. Drop in's welcome.,Community Soup Kitchen for people in need of a hot meal. No need to book appointment. Drop in's welcome.,,Yes. Call for details,Resident of the City of Kawartha Lakes in need of nourishing meal,None,,"Mon,Wed & Fri 11:30am - 1pm
Dates: Closed July and August",English,,Kawartha Lakes - NULL - NULL,705-324-4842,,,705-324-9662,Nov 25 2016,,en
52025538,52025536,52025535,Paulin Memorial Presbyterian Church,Paulin Memorial Presbyterian Church,Windsor - Woodland Ave,3200 Woodland Ave,Windsor,Essex,ON,Canada,N9E 1Z5,42.266864,-83.015787,WIN1834,TAX,Community -- Churches/Religious,Children's Programs;Free / Low Cost Meals;Free / Low-cost meals,BD-5000.1470; PL-7400.6000; PV-6500.1500*YR-1500.6500; PV-6500.1500*YR-1500.6500; PS-8000; PS-9800.1500; PV-7000,Community Meals; Needlecraft Instruction; Christian Churches*Communauté presbytérienne; Christian Churches*Presbyterian Community; Social Clubs/Events; Faith Based Youth Programs; Religious Activities,,"Presbyterian church 
<br>* offers Bible studies 
<br>* features a youth group
<br>* Sunday morning nursery and Sunday School
<br>* adult choir
<br>* discussion group 
<br>* offers a Wednesday night dinner and programmes
<br>* Congregational dinners and lunches
<br>* a social group for young families
<br>* a social group for older adults
<br>* Dinner and a Movie group
<br>* Knitting group (thurs. afternoons)
<br>
<br>
<br><b>Meeting site for: </b>
<br>* Alcoholics Anonymous
<br>* Bereavement group
<br>* Beavers
<br>* Cubs
<br>* Scouts
<br>* Brownies
<br>* Sparks and Girl Guides 
<br>* hosts South Windsor Seniors club
<br>* T.O.P.S.
<br>*Soul to Sole Dance for handicap children
<br>*Alanon
<br>*Sweet Strings (dulcimers group)
<br>*Tues. afternoon line dancing",A Presbyterian church.,paulinoffice@bellnet.ca,Application may be required for some groups * call or walk-in for details,No restrictions,None,,"<b>Office:</b> Mon-Fri 9 am-1 pm
<b>Services:</b> Sun. 9 am, 11 am * (Jul-Aug) 10 am
<b>Sunday School and Nursery:</b> During service time",English,www.paulinmemorial.ca,Essex - NULL - NULL,519-972-3627,,,,Oct 27 2016,,en
53085111,53085110,53085106,Health and Support Services - Community Care Greet and Eat Luncheons,Community Care City of Kawartha Lakes,Lindsay - Communty Care Village Housing,Community Care Village Housing; 65 Melbourne St W,Kawartha Lakes,Kawartha Lakes,ON,Canada,K9V 0G4,44.349949,-78.73956,VTC0044,CKL-BLUEBOOK; TAX,Food Banks & Food Programs; Health -- CHC,Free / Low Cost Meals;Free / Low-cost meals,BD-5000.4500,Low Cost Meals,,Enjoy good food and good company at Greet & Eat seniors luncheons. A chef and kitchen crew prepare a hot meal and volunteers serve each Wednesday from September to end of June (monthly in the summer) at noon at a cost of $7.00. Tickets are limited each week and must be purchased by the Monday prior to the event. Tickets must be purchased in advance at Community Care. They cannot be purchased at the door.,"Community Care provides support and health services that promote the ability of seniors and special needs clients to remain as independent as possible in their own communities throughout the City of Kawartha Lakes.  Community Care is a volunteer-based non-profit organization. 
<br>
<br>Services offered include support services such as Adult Day programs, Meals on Wheels, transportation for seniors and Caregiver Support. The Community Health Centre offers health and wellness programs including primary care for people without and family doctor, and a dental clinic for local residents. Hospice Services provide palliative and grief support.",,Yes. Call for details,No Restrictions,Service - Meals - $7.00 per person,,"Wed 12noon to 1:30pm
Dates: Weekly, September to end of June (monthly in the summer months).",English,,Kawartha Lakes - NULL - NULL,705-324-7323,1-800-461-0327,,705-328-0607,May 29 2017,,en
53085163,53085162,53085161,Lindsay Farmer's Market,Lindsay Farmer's Market,Lindsay Farmer's Market,,Kawartha Lakes,Kawartha Lakes,ON,Canada,,44.356574,-78.740754,VTC0414,,,Free / Low-cost meals,BD-2400.2250,Farmers Markets,,"Located on Victoria Avenue between Kent and Peel Streets in Downtown Lindsay, our Market is one of the oldest in Ontario. It was established in 1859 and has continued to be successful ever since. 
<br>
<br>True to our agricultural roots, the farmers' market represents a vibrant part of our culture and heritage.
<br>
<br>The Market is a bustling venue for growers offering fresh produce from local farms, gardeners with plants and flowers for sale, local craftspeople with their latest designs in fabric and wool, bakers with van loads of fresh breads, pastries and preserves, and more!","Located on Victoria Avenue between Kent and Peel Streets in Downtown Lindsay, our Market is one of the oldest in Ontario. It was established in 1859 and has continued to be successful ever since. 
<br>
<br>True to our agricultural roots, the farmers' market represents a vibrant part of our culture and heritage.
<br>
<br>The Market is a bustling venue for growers offering fresh produce from local farms, gardeners with plants and flowers for sale, local craftspeople with their latest designs in fabric and wool, bakers with van loads of fresh breads, pastries and preserves, and more!",bryguyc@hotmail.com,None,No Restrictions,Service,,"Sat''s 7am - 1pm
Dates: Beginning of May to the end of October",English,www.lindsayfarmersmaket.ca,Kawartha Lakes - NULL - NULL,705-878-1392 (H),,,,Oct 31 2017,,en
53825675,53825674,53825673,The Hub Youth Centre,The Hub Youth Centre,The Hub Youth Centre,6 Webster St,Northern Bruce Peninsula,Bruce,ON,Canada,N0H 1W0,44.987599,-81.253373,BRU0007,CWD-211BRUCEGRECOUNY; CWD-GBCA-YOUTH; CWD-NEWHUB; TAX,Community Recreation Centres; Cultural Supports; Drop-In Centres; Free / Low-Cost Meals; Mentoring Programs for Children and Youth; Recreation for Children & Families; Recreation for Children / Families; Recreation for Children / Youth / Families; Recreation for Youth; Social Integration; Youth -- Rec/Centres/Clubs; Youth Recreation Resources,Free / Low Cost Meals;Free / Low-cost meals;Youth Centres / Groups,TC-1700*YB-9500; TC-1700*YB-9500; TC-5500.9800; BD-5000.1470*YB-9500; BD-5000.1470*YB-9500,Drop In Centres*Jeunes; Drop In Centres*Youth; Youth Centres; Community Meals*Jeunes; Community Meals*Youth,,"Free drop in centre offers youth in grade 5 and up a fun and safe environment to relax, socialize, play games, snack and do homework. Offers the following free amenities: 
<br>
<br>* pool table, air hockey table, ping pong table 
<br>* three televisions with Xbox systems 
<br>* popcorn machine 
<br>* three computers and a wireless internet connection
<br>* free dinner on Fridays after school for any youth in the community
<br>
<br>Kids Zone offers a variety of activities for ages 6-12
<br>
<br>Hub Youth group offers activities for ages 12-19
<br>
<br>Operated by the Pentecostal Country Church","Free drop in centre offers youth in grade 5 and up a fun and safe environment to relax, socialize, play games, snack and do homework. Offers the following free amenities: 
<br>
<br>* pool table, air hockey table, ping pong table 
<br>* three televisions with Xbox systems 
<br>* popcorn machine 
<br>* three computers and a wireless internet connection
<br>* free dinner on Fridays after school for any youth in the community
<br>
<br>Kids Zone offers a variety of activities for ages 6-12
<br>
<br>Hub Youth group offers activities for ages 12-19
<br>
<br>Operated by the Pentecostal Country Church",info@thehubyouthcentre.org,Drop-in for centre and Youth Group * contact to register for Kids Zone,"Drop in: grade 5 and up
Clubs: ages 6-19<br /><br />Age Requirements: Ages: 6 year(s) - 19 year(s); ",None,,"School year drop-in: Fri 3 pm-9 pm with free dinner served at approximately 4:30 pm
Summer drop-in: Wed-Sat 7 pm-10 pm * hours subject to change

Kids Zone: ages 6-12, Wed 3 pm-5 pm * Hub Youth Group: ages 12-19, Thu 3 pm-6 pm
Dates: Drop in: year round * clubs and weekly dinner: Sep-Jun",English,www.thehubyouthcentre.org,Bruce - Northern Bruce Peninsula - Lion's Head,519-793-3331,,,,Dec 14 2017,,en
